"Submission Date","Welches Betriebssystem nutzt dein Smartphone?","Nutzt Du neben trackle noch andere Apps oder Geräte um Deine Gesundheitsdaten zu tracken?","Welche dieser Gesundheitsdaten erfasst Du?","Welche dieser Fitness/Gesundheits-Apps nutzt Du regelmäßig?","Welche Wearables/Geräte nutzt Du zum Tracken? (optional)","Wie häufig nutzt du diese Apps / Geräte?","Fändest du es hilfreich, wenn trackle automatisch relevante Gesundheitsdaten (z.B. Schlafqualität, Stress) zur Verbesserung der Zyklusbestimmung benutzen würde?","Hast du weitere Anmerkungen oder Bedenken bezüglich der Integration von Gesundheitsdaten in trackle?","Bitte gib die Antwort zu dieser Aufgabe an, um zu beweisen, dass du ein Mensch bist."
"Dez. 27, 2024",Android,Nein,,,,,Neutral,,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,Neutral,"Ich habe mich nicht informiert, wie das funktioniert, ob das ungesünder wäre. ",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher nicht Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich","Falls trackle eine Schwangerschaft erkennt wäre es super, wenn er das anzeigen würde (keine Ahnung ob er das schon tut ? Aber wäre hilfreich)",Passed
"Dez. 27, 2024",Android,Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich","Ich fände es toll, wenn man auch noch gezielt andere Symptome wie Krämpfe etc. eintragen könnte, um einen besseren Überblick über Muster im Zyklus zu erhalten. ",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich","Nur ob sich korrekt sind —> wie soll Trackel automatisch meinen Stress „messen“ beim Schlaf 

Ansonsten nicht ",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich","Wäre noch eine Verbesserung der App und könnte hilfreich für die gesundheit sein und sich positiv auswirken. ",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher Hilfreich","Nein ",Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,Neutral,"Nein :)",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher Hilfreich",Nein,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich","Ich würde gerne Daten einpflegen können, z.B. Bauchschmerzen, Kopfweh, Brustempfindlichkeit, Stuhlgang. Zyklusbgleitende Symotome, um es besser Tracken zu können. Bin in Behandlung bei Heilpraktikerin und hier soll ich immer achtsam auf sowas sein. Würde es gern in Trackle-App integriert haben. Hier würde ich mir ein Drop-Down-Feld oder so mit Auswahlmöglichkeiten wünschen. Und auch, dass es in der Auswertung auftaucht, wenn man etwas eingibt. Wenn man aktuell im Freitextfeld was erfasst, muss man immer danach suchen, wann es war. Erscheint nicht in Übersicht. ",Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich","Spannend wäre wenn trackle zb die gesamt schlaf Dauer protokolliert ",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,Neutral,,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher Hilfreich","Die Ansicht ist allgemein eher dürftig, es ist nervig, dass man aus der Grafik nicht im Kalender, wo man die Eingaben machen kann, direkt auf den richtigen Tag kann. Auch dass nur die Kurve und Schleimqualität angezeigt wird, und GV z.B. nicht, ist unschön. Man muss jeden Tag durchgehen, um das rauszufinden. 
Es wäre schön, wenn man Anmerkungen machen könnte, und nicht nur Störfaktoren, wo dann der Wert automatisch geklammert wird. ",Passed
"Dez. 27, 2024",Android,Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Eher Hilfreich","Hane mir ehrlich gesagt noch nie Gedanken darum gemacht. Ein Sleeptracker wäre bestimmt hilfreich/gut umsetzbar.",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher Hilfreich","Es wäre toll, wenn man in der Kalenderansicht und Kurve die Tage sehen könnte an denen man eine Notiz hinterlassen hat (hatte Sex, Mittelschmerz usw) 
Vorallem die Sex Notiz wäre echt hilfreich",Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 28, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 28, 2024",Android,Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Ernährung
Gewicht, Körperfett + Co","AlFit, Yazio ",,Täglich,"Eher Hilfreich",,Passed
"Dez. 20, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz","Apple Health",,"Mehrmals pro Woche","Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz","Apple Health","Apple Watch",Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Apple Health","Apple Watch","Mehrmals Täglich","Sehr Hilfreich","Ich fänd es auch sehr praktisch wenn die Daten aus der Trackle App in Apple Health übertragen werden",Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz","Apple Health","Apple Watch",Täglich,Neutral,"Es wäre schön, wenn die Daten aus der Trackle App in die Apple Health App geladen werden könnte. So hätte ich alles auf einmal im Überblick. ",Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz","Apple Health","Apple Watch","Mehrmals pro Woche","Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz","Apple Health","Apple Watch","Mehrmals Täglich","Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz","Apple Health","Apple Watch",Täglich,"Sehr Hilfreich","Es wäre cool wenn die Daten bzgl. Kerntemperatur bzw. Fruchtbarkeit an meine Apple Health App übertragen wird, weil ich dort immer einen Überblick auf alle meine Gesundheitsdaten habe. ",Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Apple Health","Apple Watch","Mehrmals Täglich","Sehr Hilfreich","Ich würde mir vor allem wünschen wenn es eine Möglichkeit geben würde die Apple Watch bzw ander Smart watches mit der trackle App zu verknüpfen ",Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität","Apple Health",,"Mehr als einmal im Monat","Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Apple Health","Apple Watch",Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz","Apple Health","Apple Watch",Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz
Stresslevel","Apple Health","Apple Watch","Mehrmals Täglich",Neutral,"Die Qualität der Daten bezüglich Stress etc. muss sichergestellt sein. Lieber als ein Import von Daten wäre mir ein Export von Daten bzw. vertiefende Auswertungen in Trackle selbst (mittlere Zykluslänge, Anteil der Zyklen unter 25 Tagen oder über 35 Tagen (jeweils bezogen auf relevante Grenzwerte))",Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Gewicht","Apple Health",iPhone,Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz","Apple Health","Apple Watch",Täglich,"Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität","Apple Health",,"Mehr als einmal im Monat","Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz","Apple Health","Apple Watch","Mehrmals pro Woche","Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,Periode,"Apple Health
Clue",,Täglich,"Eher nicht Hilfreich","Nicht relevant, gerne so clean halten",Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz","Apple Health
Flo, QWatch",Zenwatch,"Mehrmals Täglich","Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz
Ernährung","Apple Health
Lenus","Apple Watch","Mehrmals pro Woche","Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz","Apple Health
MyFitnessPal","Apple Watch","Mehrmals Täglich","Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel
Ernährung","Apple Health
Sleep Cycle","Apple Watch","Mehrmals Täglich","Sehr Hilfreich",,Passed
"Dez. 28, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität","Apple Health
Sleep Cycle",,"Mehrmals pro Woche",Neutral,,Passed
"Dez. 28, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Apple Health
Ultrahuman","Apple Watch
Ultrahuman Ring","Mehrmals Täglich","Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität","Apple Health
VitalisTraining (Fitnessstudio App)",,"Mehrmals pro Woche","Sehr Hilfreich",,Passed
"Dez. 28, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Herzfrequenz","Apple Health
Withings","Apple Watch",Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz
Ernährung","Apple Health
Yazio","Apple Watch","Mehrmals Täglich","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Sport / Aktivität
Herzfrequenz
Stresslevel",Fitbit,Fitbit,Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)",Fitbit,Fitbit,Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel",Fitbit,Fitbit,Täglich,"Eher Hilfreich","Viel Erfolg ",Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz",Fitbit,Fitbit,"Mehrmals pro Woche","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Ernährung",Fitbit,Fitbit,"Mehrmals pro Woche","Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel
Ernährung","Fitbit
Fddb",Fitbit,"Mehrmals Täglich","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Ernährung","Fitbit
Yazio",Fitbit,"Mehrmals Täglich","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,Zyklus,Flo,,"Mehr als einmal im Monat","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Garmin Connect",Garmin,"Mehrmals Täglich","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Garmin Connect",Garmin,Täglich,"Eher nicht Hilfreich","Ich kann mir nicht vorstellen, dass das die Zyklusbestimmung verbessert.",Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Garmin Connect",Garmin,Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz","Garmin Connect
Flo",Garmin,Täglich,"Eher nicht Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel
Ernährung","Garmin Connect
Flo",Garmin,"Mehrmals pro Woche","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Sport / Aktivität","Google Health Connect ",,Täglich,"Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,Medikamenteneinnahme,"Google Health Connect ","Samsung Galaxy Watch","Mehrmals pro Woche",Neutral,,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel
Ernährung","Google Health Connect ",Fitbit,"Mehrmals Täglich","Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Google Health Connect ",Fitbit,Täglich,"Sehr Hilfreich","Würde gerne mehr Daten eintragen können. Z.B. Brustsymptom, Unterleibschmerzen, Mittelschmerz etc.",Passed
"Dez. 28, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Google Health Connect ","Android / Pixel Watch",Täglich,"Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Google Health Connect
Garmin Connect","Fitbit
Garmin",Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel","Google Health Connect
Huawei Health ","Huawei watch ","Mehrmals Täglich","Sehr Hilfreich",-,Passed
"Dez. 27, 2024",Android,Ja,"Sport / Aktivität
Zyklusapps","Google Health Connect
Samsung Health
Flo, myperiod",Keine,"Mehr als einmal im Monat","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität","Samsung Health",,"Mehr als einmal im Monat","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz","Samsung Health","Samsung Galaxy Watch","Mehrmals Täglich",Neutral,"Da mein Zyklus sehr regelmäßig ist und Faktoren wie Stress oder Schlaf bei mir keine Probleme darstellen, sehe ich die Integration von Gesundheitsdaten neutral. Für mich persönlich wäre es nur ein interessantes Feature aber keine Notwendigkeit, was das Tracken meines Zyklus betrifft.",Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Herzfrequenz
Zyklus","Samsung Health","Samsung Galaxy Watch","Mehrmals Täglich","Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Sport / Aktivität
Ernährung","Samsung Health
Hevy, yazio","Samsung Galaxy Watch","Mehrmals pro Woche","Eher Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität","Google Health Connect, Runkeeper","Polar",Täglich,"Eher nicht Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Zyklus mit Flo ","Sleep Cycle","Apple Watch","Mehr als einmal im Monat","Sehr Hilfreich","Nein, ich würde mich eher darüber freuen meine schlaftrackingapp mit Trackle zu verknüpfen ",Passed
"Dez. 27, 2024",Android,Ja,"Sport / Aktivität
Kopfschmerztagebuch",Strava,"Nur Smartphone","Mehrmals pro Woche","Eher Hilfreich","Als Zusatzinformation fände ich es interessant, aber das ist nicht der Grund warum sich die meisten Trackle holen. ",Passed
"Dez. 28, 2024","iOS (Apple)",Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz
Stresslevel
Ernährung
Labortests
Zyklus, Blutzucker","Whoop, Trackle, Hello Inside","WHOOP Band, trackle, Freestyle Libre ",Täglich,"Sehr Hilfreich","Entweder der trackle kann Schlaf usw bestimmen oder eine Verknüpfung zu zB Whoop oder Hello Inside wären super. 
Wahrscheinlich finde ich die zweite Lösung besser, weil für Aktivitäten am Tag, müsste man den trackle ja den ganzen Tag tragen? Schwierig. ",Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Herzfrequenz",Withings,"Withings Steel HR","Mehrmals pro Woche",Neutral,,Passed
"Dez. 27, 2024","iOS (Apple)",Ja,"Sport / Aktivität
Ernährung",YAZIO,,Täglich,"Sehr Hilfreich",,Passed
"Dez. 27, 2024",Android,Ja,"Schlaf (Dauer/Qualität)
Sport / Aktivität
Herzfrequenz",Zepp,"Mi Band / Xiaomi","Mehrmals Täglich","Sehr Hilfreich",,Passed
